epoch,split,total_loss,classification_loss,sparsity_loss,accuracy,sparsity_level,mean_gate
1,train,23.948943282546995,1.9016842443084716,44094.515463984375,31.384,99.65142355694228,0.002103953855112195
1,test_soft,2.5783899311065674,1.7152638763427734,1726.251953125,38.71,99.65142355694228,0.002103953855112195
2,train,2.379538388519287,1.7877063718414308,1183.6639822265624,35.854,99.71321665366615,0.001026113168336451
2,test_soft,2.1146093185424806,1.693656634902954,841.9053344726562,39.04,99.71321665366615,0.001026113168336451
3,train,2.109554659957886,1.7637529253387452,691.6034259960937,36.402,99.7288172776911,0.0007042599027045071
3,test_soft,1.9609506698608399,1.6720350631713867,577.8311157226562,40.44,99.7288172776911,0.0007042599027045071
4,train,2.0102400215530394,1.7568632049179078,506.7536103222656,36.404,99.75234009360375,0.000542260822840035
4,test_soft,1.8674192092895507,1.6449620571136474,444.9142150878906,41.62,99.75234009360375,0.000542260822840035
5,train,1.956531187210083,1.7508063854598999,411.44959759765624,36.238,99.77196275351014,0.0004633834178093821
5,test_soft,1.853236255645752,1.6631378507614136,380.1968688964844,40.09,99.77196275351014,0.0004633834178093821
6,train,1.9186382261657715,1.7373972610855102,362.48191650390623,36.896,99.77098771450858,0.0004204009019304067
6,test_soft,1.7874388969421386,1.6149735725402832,344.9305725097656,42.81,99.77098771450858,0.0004204009019304067
7,train,1.8838502487564086,1.7213739168930053,324.9526470703125,37.484,99.78671021840874,0.00038083860999904573
7,test_soft,1.7646855884552002,1.6084503704071045,312.4704895019531,42.46,99.78671021840874,0.00038083860999904573
8,train,1.8519894024276733,1.70332655708313,297.3256723046875,38.208,99.7998732449298,0.0003509389644023031
8,test_soft,1.7301748697280883,1.5862056915283202,287.93841552734375,42.95,99.7998732449298,0.0003509389644023031
9,train,1.8166194173812866,1.678341937789917,276.5549535546875,39.136,99.80389528081123,0.0003297539078630507
9,test_soft,1.70368775100708,1.5684095260620117,270.5565185546875,43.51,99.80389528081123,0.0003297539078630507
10,train,1.7957516219329834,1.6638641338348388,263.77496712890627,39.676,99.80682039781591,0.000314998731482774
10,test_soft,1.6509097721099852,1.521684637260437,258.4501647949219,45.59,99.80682039781591,0.000314998731482774
11,train,1.758332668762207,1.631234144859314,254.19704500976562,40.862,99.81230499219969,0.0003045542980544269
11,test_soft,1.61118688621521,1.4862464908599853,249.88070678710938,46.0,99.81230499219969,0.0003045542980544269
12,train,1.7414570683288575,1.618121339111328,246.6714544140625,41.224,99.81254875195008,0.00029596881358884275
12,test_soft,1.5780839235305786,1.4566656858444214,242.83648681640625,47.51,99.81254875195008,0.00029596881358884275
13,train,1.7165702627563477,1.5962903607559205,240.55978983398438,42.106,99.81072055382215,0.0002929617476183921
13,test_soft,1.567151042175293,1.4469663822174073,240.36927795410156,47.69,99.81072055382215,0.0002929617476183921
14,train,1.6993370680236817,1.5806425382232665,237.38904541015626,42.858,99.80889235569423,0.0002891960320994258
14,test_soft,1.5294776792526246,1.4108378524780274,237.27957153320312,49.49,99.80889235569423,0.0002891960320994258
15,train,1.6810993115234374,1.5631652767181397,235.8680467138672,43.564,99.80560159906396,0.00028660669340752065
15,test_soft,1.524084889602661,1.406507336807251,235.15505981445312,49.97,99.80560159906396,0.00028660669340752065
16,train,1.665806884651184,1.5487069282531738,234.19990586914062,44.11,99.80511407956318,0.00028535016463138163
16,test_soft,1.50285112991333,1.3857890380859375,234.12413024902344,50.93,99.80511407956318,0.00028535016463138163
17,train,1.6524284034347534,1.5355122721862793,233.83224763671876,44.424,99.799995124805,0.0002839764638338238
17,test_soft,1.4888337677001953,1.3723352973937988,232.99703979492188,51.07,99.799995124805,0.0002839764638338238
18,train,1.6406856395339966,1.5241098303985596,233.1516048046875,44.732,99.80011700468019,0.00028403926989994943
18,test_soft,1.4841331153869628,1.3676088958740233,233.0485382080078,51.15,99.80011700468019,0.00028403926989994943
19,train,1.6398031615066528,1.5233708233642578,232.86466063964843,44.994,99.79828880655226,0.00028392672538757324
19,test_soft,1.4832455173492431,1.3667674318313598,232.95620727539062,51.2,99.79828880655226,0.00028392672538757324
20,train,1.6336273252105713,1.5171883211517334,232.87799701660157,45.188,99.79780128705148,0.00028375533293001354
20,test_soft,1.4786653612136842,1.3622576091766359,232.81556701660156,51.64,99.79780128705148,0.00028375533293001354
